osm_id,latitude,longitude,name,type
528355965,46.14318,11.194926,INTERNET POINT DI ALBIANO,wifi
1732692637,46.1341,11.2475,IORIATTI NORMA,appartamentovacanze
253576180,46.230278,11.300556,CONDOMINIO PERLA,appartamentovacanze
2967453837,46.134553,11.248063,Bianco,bar
293235722,46.126967,11.259296,CARROZZERIA TOMASI G. (BASELGA DI PINE'),automoto
26135722,46.134296,11.247468,NORMA (BASELGA DI PINE'),parrucchiera
1183435147,46.141796,11.195371,OFFICINA SEVEGNANI (ALBIANO),automoto
26135722,46.13412,11.247143,Gioielleria Andreatta Sas ,negozio
605427556,46.15039,11.271371,AUTOFFICINA VALENTINI DI VALENTINI DAVIDE (BASELGA DI PINE'),automoto
26122960,46.1335,11.2487,ALBERGO VILLA ANITA,hotel
702075256,46.160113,11.234057,Famiglia Cooperativa di Lona ,alimentari
520622911,46.1716,11.2199,EUROPA,ristorante
24794532,46.135029,11.249345,Svaldi Francesca,profumeria
293233391,46.132386,11.244372,Colibri Artigianato,souvenir
29236099,46.105933,11.18465,FAMIGLIA COOPERATIVA PERGINESE S.C.A.R.L.,alimentari
269348447,46.15052,11.22256,DISTRIBUTORE DI CARBURANTI,stazioneservizio
1229695692,46.127995,11.24419,INTERNET POINT DI BASELGA DI PINE',wifi
253215463,46.186722,11.26064,GIACOMOZZI,ristorante
293233405,46.129722,11.243889,Itinerario Riserva Naturalistica del Laghestel,attrazionenaturale
82604931,46.0959,11.2345,WELLNESS HOTEL BELVEDERE WELLNESS & FAMILY,wellness
138707747,46.082876,11.200151,Sottobosco,prodottitipici
256197490,46.160524,11.1877,DALLAPORTA LUIGI ,alimentari
123631727,46.207829,11.268043,Famiglia Coperativa,alimentari
12135177861,46.194559,11.208489,HAPPY RANCH SALOON,ristorante
24756549,46.131895,11.243409,Alpino,bar
522612906,46.126448,11.246784,DA GIGI,ristorante
126273701,46.187355,11.2584,WELLNESS HOTEL ALLE PIRAMIDI,wellness
24756549,46.131895,11.243409,ALPINO,ristorante
2468231578,46.157293,11.152477,Famiglia coop. Giovo ,alimentari
74772709,46.168389,11.247134,TAVOLA CALDA DO SPAGHI,ristorante
445468059,46.09015,11.181437,EXTREME PIZZA,ristorante
9201653,46.083337,11.199099,SWEET COFFEE,bar
659197619,46.157014,11.152638,Cafè Centro,bar
1923459909,46.12722,11.249635,TALPA,pizzeria
35204599,46.163889,11.14,AGRITUR AI SERCI,agriturismo
832929590,46.134057,11.248508,DR. LUCA SIGHEL (BASELGA DI PINE'),dentista
303978483,46.158166,11.288884,APICOLTURA GOCCE D'ORO,prodottitipici
832929594,46.133698,11.246164,Supermercato Fratelli Ravelli,alimentari
253215463,46.186722,11.26064,DISTILLERIA GIACOMOZZI RENZO,prodottitipici
42733332,46.123772,11.242033,HOTEL 2 PINI,ristorante
459250557,46.169799,11.302225,BAITA ALPINA,ristorante
42690882,46.214783,11.192523,SAUCH,ristorante
86967971,46.088535,11.182719,QUASI BAR,bar
97120739,46.177994,11.22557,Dalvit Tarcisio,alimentari
605440218,46.136944,11.248333,GATTI CARLA,appartamentovacanze
42733331,46.126021,11.243774,Due camini,bar
7001520479,46.12559,11.248925,ANDREATTA ANDREA (BASELGA DI PINE'),negozio
216511654,46.2173,11.3267,TIROL,ristorante
522825641,46.174803,11.221179,AZIENDA AGRICOLA ZANOTELLI ELIO & F.LLI,prodottitipici
103129729,46.144855,11.193287,POLIAMBULATORIO ALBIANO,servizisanitari
522825121,46.175185,11.220214,Tabacchi Fadanelli Danilo,tabacchino
1183435146,46.144968,11.192928,BAR SPORT,bar
30490250,46.204703,11.23147,AGRITURISMO DELLA GENS PAOLAZZI,agriturismo
239008783,46.157627,11.154821,INTERNET POINT DI GIOVO,wifi
74772709,46.170105,11.246834,SALONE SONIA (SEGONZANO),parrucchiera
1732692055,46.132765,11.247304,Negozio Jolly ,negoziosport
832929593,46.13385,11.246569,Pinetana,gelateria-pasticceria
537513269,46.133657,11.24747,LA VECCHIA SEGHERIA,ristorante
122919173,46.160929,11.302517,PIZZERIA BAR CENTRALE (BEDOLLO),pizzeria
832929590,46.134401,11.248873,Dallapiccola Sara,abbigliamento
253791977,46.222707,11.313039,POSTA DI SOVER,posta
24790156,46.147949,11.187904,BAR STELLA,bar
110448041,46.146529,11.202175,Albiangomme,negozio
126273701,46.187355,11.2584,ALLE PIRAMIDI,ristorante
