id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dd9,46.160113,11.234057,Famiglia Cooperativa di Lona ,alimentari,702075256
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31bc,46.1716,11.2199,EUROPA,ristorante,520622911
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd399e,46.135029,11.249345,Svaldi Francesca,profumeria,24794532
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3c80,46.132386,11.244372,Colibri Artigianato,souvenir,293233391
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dd2,46.105933,11.18465,FAMIGLIA COOPERATIVA PERGINESE S.C.A.R.L.,alimentari,29236099
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3c74,46.15052,11.22256,DISTRIBUTORE DI CARBURANTI,stazioneservizio,269348447
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2de0,46.127995,11.24419,INTERNET POINT DI BASELGA DI PINE',wifi,1229695692
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bb4,46.186722,11.26064,GIACOMOZZI,ristorante,253215463
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2dca,46.129722,11.243889,Itinerario Riserva Naturalistica del Laghestel,attrazionenaturale,293233405
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f8e,46.0959,11.2345,WELLNESS HOTEL BELVEDERE WELLNESS & FAMILY,wellness,82604931
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd379a,46.082876,11.200151,Sottobosco,prodottitipici,138707747
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bae,46.160524,11.1877,DALLAPORTA LUIGI ,alimentari,256197490
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2de7,46.207829,11.268043,Famiglia Coperativa,alimentari,123631727
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd398c,46.194559,11.208489,HAPPY RANCH SALOON,ristorante,12135177861
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd3794,46.131895,11.243409,Alpino,bar,24756549
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bc0,46.126448,11.246784,DA GIGI,ristorante,522612906
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f95,46.187355,11.2584,WELLNESS HOTEL ALLE PIRAMIDI,wellness,126273701
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31ae,46.131895,11.243409,ALPINO,ristorante,24756549
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3bc6,46.157293,11.152477,Famiglia coop. Giovo ,alimentari,2468231578
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd378e,46.168389,11.247134,TAVOLA CALDA DO SPAGHI,ristorante,74772709
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31c3,46.09015,11.181437,EXTREME PIZZA,ristorante,445468059
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd3992,46.083337,11.199099,SWEET COFFEE,bar,9201653
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2ef6,46.157014,11.152638,Cafè Centro,bar,659197619
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd3788,46.12722,11.249635,TALPA,pizzeria,1923459909
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30b1,46.163889,11.14,AGRITUR AI SERCI,agriturismo,35204599
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36ec,46.134057,11.248508,DR. LUCA SIGHEL (BASELGA DI PINE'),dentista,832929590
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd30b7,46.158166,11.288884,APICOLTURA GOCCE D'ORO,prodottitipici,303978483
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd3986,46.133698,11.246164,Supermercato Fratelli Ravelli,alimentari,832929594
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f6e,46.186722,11.26064,DISTILLERIA GIACOMOZZI RENZO,prodottitipici,253215463
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2def,46.123772,11.242033,HOTEL 2 PINI,ristorante,42733332
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd377c,46.169799,11.302225,BAITA ALPINA,ristorante,459250557
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd396e,46.214783,11.192523,SAUCH,ristorante,42690882
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3afa,46.088535,11.182719,QUASI BAR,bar,86967971
